source,target,weight
CHE,COL,478271.40505253634
CHE,USA,36247369.97831335
CHE,TUN,241831.5139325124
CHE,PAN,230701.7391286771
CHE,GRC,787137.6169576887
CHE,ARG,775365.1102847317
CHE,CHL,302028.4370554052
CHE,CAN,3616910.017383645
CHE,AUT,8117221.137444217
CHE,AUS,2439311.0223376155
CHE,DZA,358189.3007080316
CHE,KAZ,182631.2502728832
CHE,MYS,2517464.3431582544
CHE,BHR,282585.18131059426
CHE,IND,19726044.220558792
CHE,IRL,916865.270412077
CHE,SGP,7289251.997609125
CHE,LBN,570054.8248276311
CHE,BGR,376423.8097618157
CHE,EGY,880446.874323488
CHE,BEL,6884699.437310976
CHE,DEU,44712248.49251965
CHE,HUN,1010357.157430659
CHE,DNK,972149.788981494
CHE,MEX,1350527.1764499475
CHE,VNM,589522.1454795904
CHE,LUX,550521.4363779648
CHE,CHN,24222341.877544407
CHE,PHL,318914.5922865407
CHE,GBR,16846943.357957903
CHE,ZAF,718161.1746805913
CHE,QAT,686529.7096783054
CHE,ISR,1089093.7831240268
CHE,JPN,7504573.294595334
CHE,PAK,348895.9811620414
CHE,PRT,848346.5011118725
CHE,SVK,548841.9768126869
CHE,IRQ,322770.4137674405
CHE,SAU,1854300.5259616608
CHE,JOR,511143.7919816816
FRA,GHA,249630.5364568104
FRA,HRV,524715.3558252155
FRA,ETH,938298.678039194
FRA,IRN,1638271.995059738
FRA,POL,9984439.88302456
FRA,IDN,1918670.516926813
FRA,EST,359441.6853862005
FRA,SVN,1061273.957348816
FRA,ESP,39408509.50628733
FRA,GIN,186299.6410732486
FRA,OMN,329281.8903014173
FRA,KOR,5496368.506100865
FRA,NLD,18551846.78169802
FRA,MUS,625896.1056605143
FRA,SWE,5504782.676715035
FRA,KWT,472010.6578940922
FRA,CMR,587214.3420102561
FRA,CZE,5055113.605671706
FRA,UKR,936087.7017311011
FRA,CHE,17350135.55224902
FRA,TUR,7363370.176090344
FRA,THA,2557842.512434273
FRA,ITA,38786203.70272343
FRA,MAR,4656752.321121765
FRA,CYP,234945.14575404965
FRA,NOR,1780256.6246853126
FRA,NZL,455720.5925136073
FRA,ARE,3795474.526975691
FRA,RUS,6071747.090546648
FRA,BRA,4560316.169959821
FRA,FIN,2266912.441365224
FRA,COL,546629.6050739406
FRA,USA,37514155.77288216
FRA,TUN,3630171.572725615
FRA,LTU,671239.5138561385
