iso_o,iso_d,dist
AIA,KNA,110.3055
AIA,KOR,13743.52
AIA,KWT,10941.74
AIA,LAO,15711.67
AIA,LBN,9655.041
AIA,LBR,5818.604
AIA,LBY,7669.443
AIA,LCA,517.793
AIA,LKA,15094.98
AIA,LSO,11048.21
AIA,LTU,8269.709
AIA,LUX,6993.768
AIA,LVA,8156.395
AIA,MAC,15512.78
AIA,MAR,5811.697
AIA,MDA,8686.297
AIA,MDG,12758.88
AIA,MDV,14654.97
AIA,MEX,3798.638
AIA,MHL,13441.06
AIA,MKD,8230.904
AIA,MLI,5921.195
AIA,MLT,7746.688
AIA,MMR,15522.93
AIA,MNG,12606.91
AIA,MNP,15153.56
AIA,MOZ,11437.66
AIA,MRT,4965.889
AIA,MSR,191.4117
AIA,MTQ,454.8102
AIA,MUS,13816.65
AIA,MWI,11209.52
AIA,MYS,17129.25
AIA,NAM,9826.64
AIA,NCL,14865.49
AIA,NER,6959.764
AIA,NFK,14733.37
AIA,NGA,7316.091
AIA,NIC,2584.515
AIA,NIU,12380.23
AIA,NLD,6931.505
AIA,NOR,7370.367
AIA,NPL,13891.39
AIA,NRU,14230.17
AIA,NZL,13963.56
AIA,OMN,12175.68
AIA,PAK,12622.37
AIA,PAL,9648.739
AIA,PAN,2053.092
AIA,PCN,8709.978
AIA,PER,3707.215
AIA,PHL,16352.84
AIA,PLW,16598.35
AIA,PNG,16636.75
AIA,POL,8025.102
AIA,PRI,324.5992
AIA,PRK,13599.25
AIA,PRT,5655.651
AIA,PRY,4873.046
AIA,PYF,10264.94
AIA,QAT,11459.47
AIA,REU,13619.2
AIA,ROM,8547.076
AIA,RUS,9001.682
AIA,RWA,10415.35
AIA,SAU,11057.99
AIA,SDN,10051.97
AIA,SEN,4874.319
AIA,SGP,17433.24
AIA,SHN,7344.848
AIA,SLB,15296.01
AIA,SLE,5481.237
AIA,SLV,2835.996
AIA,SMR,7479.189
AIA,SOM,11885.28
AIA,SPM,3229.092
AIA,STP,7876.781
AIA,SUR,1616.524
AIA,SVK,7801.975
AIA,SVN,7620.428
AIA,SWE,7781.382
AIA,SWZ,11307.62
AIA,SYC,13191.42
AIA,SYR,9740.081
AIA,TCA,918.5014
AIA,TCD,8351.872
AIA,TGO,7101.722
AIA,THA,16046.65
AIA,TJK,11963.44
AIA,TKL,12319.73
AIA,TKM,11291.61
AIA,TMP,18610.23
AIA,TON,12972.39
AIA,TTO,860.368
AIA,TUN,7350.259
AIA,TUR,8862.689
AIA,TUV,13234.22
AIA,TWN,15188.89
AIA,TZA,11557.67
AIA,UGA,10602.5
AIA,UKR,8711.546
AIA,URY,5958.545
AIA,USA,2717.069
AIA,UZB,11788.01
AIA,VCT,591.869
AIA,VEN,946.1678
AIA,VGB,165.8035
AIA,VNM,15503.53
AIA,VUT,14614.55
AIA,WLF,12887.44
AIA,WSM,14169.17
AIA,YEM,11231.5
AIA,YUG,8101.416
AIA,ZAF,10390.02
AIA,ZAR,8943.317
AIA,ZMB,10685.62
AIA,ZWE,11045.85
ALB,ABW,9091.742
ALB,AFG,4342.117
ALB,AGO,5623.827
ALB,AIA,8108.476
ALB,ALB,63.77311
ALB,AND,1519.551
ALB,ANT,9028.003
ALB,ARE,3702.809
ALB,ARG,11632.19
ALB,ARM,2077.855
ALB,ATG,8082.156
ALB,AUS,15722.44
ALB,AUT,812.9326
ALB,AZE,2520.89
ALB,BDI,5067.598
ALB,BEL,1589.107
ALB,BEN,4249.507
ALB,BFA,3845.117
ALB,BGD,6719.066
ALB,BGR,324.0465
ALB,BHR,3285.379
ALB,BHS,8763.203
ALB,BIH,303.8697
ALB,BLR,1505.639
ALB,BLZ,10230.51
ALB,BMU,7305.79
ALB,BOL,11056.12
ALB,BRA,9943.985
ALB,BRB,8181.91
