source,target,dist
ATG,GMB,4857.493
ATG,GNB,4999.796
ATG,GNQ,7835.236
ATG,GRC,8474.119
ATG,GRD,564.0186
ATG,GTM,3080.378
ATG,GUY,1220.723
ATG,HND,2741.802
ATG,HRV,7723.157
ATG,HTI,1123.375
ATG,HUN,7943.171
ATG,IDN,18289.65
ATG,IND,13300.81
ATG,IRL,6235.451
ATG,IRN,10879.84
ATG,IRQ,10411.01
ATG,ISL,6032.662
ATG,ISR,9612.268
ATG,ITA,7470.406
ATG,JAM,1590.519
ATG,JOR,9721.466
ATG,JPN,13731.89
ATG,KAZ,12105.75
ATG,KEN,10980.71
