country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
KHM,1.221270061,0,1162.904995,181035,120.7925497,75.07976437,27.67957211,26.58036001,7.036087179,1822804151.0,Khmer,18049954289.0,Asia,15521435.0
KIR,0.5720157436,0,1542.616968,717,74.21784656,102.3898478,15.22203929,21.57655581,10.40540793,-819824.3529,English,171117872.4,Pacific,110927.0
KNA,-2.30187563,0,18028.97343,269,38.13008521,69.94500727,23.57694221,1.029881405,1.033704225,128828086.3,English,923155555.6,America,51204.0
KOR,0.7062081699,0,28732.23108,99484,65.71657676,59.02676024,34.14993567,2.003907793,2.809103268,4104100000.0,Korean,1465773245547.0,Asia,51014947.0
KWT,3.271701661,0,29869.55275,17818,74.26639312,137.4978497,55.93633334,0.537517441,0.5930196172,284647623.8,Arabic,114567298106.0,Asia,3835588.0
LAO,1.277354271,1,2134.713062,236800,64.8208012,96.06495418,27.69334425,17.5877597,7.270065843,1077759915.0,Lao,14390442307.0,Asia,6741160.0
LBN,-3.749145248,0,7644.545147,10452,45.94971418,104.2067927,15.72948019,3.382572678,0.211611959,2159289952.0,Arabic,49939374833.0,Asia,6532681.0
LBR,7.748696876,0,710.3840166,111369,62.00818382,126.5177235,12.53687441,34.37069562,0.0,232679832.5,English,3177000000.0,Africa,4472229.0
LBY,14.85,0,4337.919139,1759540,99.92410251,135.188248,80.0,1.0,-8.862039363,0.0,Arabic,27842131480.0,Africa,6418315.0
LCA,-0.9843092035,0,10093.61802,617,41.48046802,110.578959,10.94032083,2.16165473,-1.360484662,153713119.4,English,1808079889.0,America,179131.0
LKA,3.768367831,0,3843.780672,65610,36.57631195,110.0882088,27.16952619,8.184271461,5.007683305,679655644.2,Sinhala,80604080689.0,Asia,20970000.0
LSO,3.218445137,1,1146.064688,30355,123.9956711,85.10406329,33.73760289,3.781795521,2.650143853,206514459.9,English,2372280103.0,Africa,2059011.0
LTU,-0.8840974055,0,14258.22933,65300,129.2792299,98.50105395,26.71806,3.42067512,2.024583955,1036954106.0,Lithuanian,41418872976.0,Europe,2904910.0
LUX,0.4747431614,1,101376.4966,2586,70.01191358,75.74993753,11.03811546,0.2256893814,4.306431493,12499722623.0,French,57744457955.0,Europe,569604.0
LVA,0.1742422436,0,13774.60527,64589,99.13855791,105.1109852,19.11231756,3.496190161,4.006874033,812843819.5,Latvian,27239653844.0,Europe,1977527.0
MAR,1.557907113,0,2875.257985,710850,59.72930879,117.6284646,26.0940331,12.62806822,4.536378168,3252913902.0,Arabic,101179808076.0,Africa,34663608.0
MDA,9.676240331,0,2732.457113,33700,76.87310414,72.39673133,22.68975275,11.50526791,-0.3382353245,225565000.0,Romanian,7745231660.0,Europe,2834530.0
MDG,7.404191742,0,467.2355537,587041,42.7712605,85.03812266,12.59330492,25.74334761,3.132295888,328059305.6,French,11323023787.0,Africa,24234080.0
MDV,0.9532066588,0,9033.459724,298,51.97779277,100.7441326,10.68035774,5.564679082,2.884548602,297975993.4,Maldivian,4109447297.0,Asia,454914.0
MEX,2.72064065,0,9616.645558,1967210,67.05808698,93.55396074,29.98530327,3.191923657,3.293151528,35737524436.0,Spanish,1171867608198.0,America,121858251.0
MKD,-0.2999204756,1,4843.492387,25713,108.8544853,96.77532886,23.92218322,9.726918494,3.85586514,296604200.4,Macedonian,10064515432.0,Europe,2079335.0
MLI,1.450690576,1,751.4728866,1240142,49.73000532,156.5409823,17.59796791,37.72325687,6.171800024,275414753.0,French,13104802016.0,Africa,17438772.0
MLT,1.100548264,0,24921.60368,316,77.9249971,138.2553308,12.29359572,0.9228816373,9.608132348,3640705147.0,English,11091434435.0,Europe,445053.0
MMR,9.454171895,0,1144.474341,678500,46.96165919,100.1967444,33.91247241,26.73441801,6.99284029,4083839112.0,Burmese,67822772707.0,Asia,52680724.0
MNG,5.726872247,1,3918.587015,1565500,72.06190118,149.1270021,31.04054776,13.35614513,2.379835807,94319767.47,Mongolian,11749620620.0,Asia,2998433.0
